Sesotho (st)	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
tlhahisoleseding	1	0	0	0	0	0	0	0	0	0
tsebiso	0	0	0	0	0	0	0	0	0	0
mo tsebisa	0	1	0	0	0	0	0	0	0	0
tl?lo ea molao	0	1	1	0	0	0	0	0	0	0
e sa tloaelehang	0	0	0	0	0	0	0	0	1	0
ka nako e telele	0	1	0	0	0	0	0	0	0	0
ho tl?la	0	1	0	0	0	0	0	0	0	0
kenya	0	0	0	0	0	0	0	0	0	0
e kenngoa	0	0	0	0	0	0	0	0	0	0
infusion	0	0	0	0	0	0	0	0	0	0
tse bohlale	1	0	0	0	0	0	0	0	0	0
bohlale	0	0	0	0	0	0	0	0	0	0
ho kopa	0	0	0	0	0	0	0	0	0	0
ho kenella	0	0	0	0	0	0	0	0	0	0
ingot	0	0	0	0	0	0	0	0	0	0
e tiisitsoeng	0	0	0	0	0	0	0	0	0	0
motsoako	0	0	0	0	0	0	0	0	0	0
ingress	0	0	0	0	0	0	0	0	0	0
a lule teng	0	0	0	0	0	0	0	0	0	0
moahi	0	0	0	0	0	0	0	0	0	0
e ahiloeng	0	0	0	0	0	0	0	0	0	0
ba ahileng ho lona	0	0	0	0	0	0	0	0	0	0
ho inhalation	0	0	0	0	0	0	0	0	0	0
inhale	0	0	0	0	0	0	0	0	0	0
tsa tlhaho	0	0	0	0	0	0	0	0	0	0
rua	0	0	0	0	0	0	0	0	0	0
lefa	1	0	0	1	0	0	1	0	1	1
thibela	0	1	1	0	1	0	0	1	0	0
ho thibela	0	0	0	0	0	0	0	0	0	0
e ke keng ea qojoa	0	1	0	0	0	0	0	1	0	0
e se nang botho	0	1	1	0	1	1	0	1	0	0
ho hloka botho	0	1	0	0	0	0	0	1	0	0
e sa tloaelehang	0	1	1	0	0	0	0	1	0	0
ha e na thuso	1	0	0	0	0	0	0	0	0	1
bobe	0	1	0	0	1	0	0	0	0	0
pele	0	0	0	0	0	0	0	0	0	0
qala	0	0	0	0	0	0	0	0	0	0
e qalile	0	0	0	0	0	0	0	0	0	0
bohato ba pele	0	0	0	0	0	0	0	0	0	0
kenya	0	0	0	0	0	0	0	0	0	0
ente	0	0	0	0	0	1	0	0	0	0
taelo	0	1	0	0	0	0	0	0	0	0
ho nt?a kotsi	0	1	1	0	0	1	0	1	0	0
ba lemetse	0	1	0	0	0	1	0	1	0	0
kotsi	0	1	1	0	0	1	0	1	0	0
kotsi	0	1	1	0	0	1	0	1	0	0
ho hloka toka	0	1	1	0	0	0	0	0	0	0
inki	0	0	0	0	0	0	0	0	0	0
ho inkela	0	0	0	0	0	0	0	0	0	0
ka hare ho naha	0	0	0	0	0	0	0	0	0	0
inlay	0	0	0	0	0	0	0	0	0	0
ho kena	0	0	0	0	0	0	0	0	0	0
bat?oaruoa	0	1	0	0	1	1	0	0	0	0
hotele e nyane	0	0	0	0	0	0	0	0	0	0
mohau	0	0	0	0	0	0	0	0	0	0
ka hare	0	0	0	0	0	0	0	0	0	0
innings	0	0	0	0	0	0	0	0	0	0
mong'a ntlo	0	0	0	0	0	0	0	0	0	0
ho hloka molato	1	0	0	0	0	0	0	0	0	0
ba hlokang molato	1	0	0	0	0	0	0	0	0	1
ho hloka molato	1	0	0	0	0	0	0	0	0	0
ho hloka toka	1	0	0	0	0	0	0	0	0	0
ho innosa	1	0	0	0	0	0	0	0	0	0
tse ncha	1	0	0	0	0	0	0	0	0	0
innuendo	0	0	0	0	0	0	0	0	0	0
e ke keng ea baloa	0	0	0	0	0	0	0	0	0	0
inoculation	0	0	0	1	0	0	0	0	0	1
e sa sebetse	0	1	1	0	0	0	0	0	0	0
ho sa tsotellehe	0	0	0	0	0	0	0	0	0	0
e sa tloaelehang	0	0	0	0	0	0	0	0	0	0
botsa	0	0	0	0	0	0	0	0	0	0
botsa	0	0	0	0	0	0	0	0	0	0
botsa	1	0	0	0	0	0	0	0	0	0
ho botsa	0	0	0	0	0	0	0	0	0	0
tlhahlobo	1	0	0	1	0	0	0	0	0	0
ho na le bothata	1	0	0	0	0	0	0	0	0	0
ho hlanya	0	1	1	0	0	1	0	0	0	0
insanity	0	1	1	0	1	1	0	1	0	0
ho ngoloa	0	0	0	0	0	0	0	0	0	0
e tsitsitseng	0	0	0	0	0	0	0	0	0	0
likokoanyana	0	0	0	0	0	0	0	0	0	0
se sireletsehileng	0	1	1	0	0	1	0	1	0	0
ho se sireletsehe	0	1	0	0	0	1	0	0	0	0
e ke keng ea arohana	1	0	0	0	0	0	1	0	0	1
kenya	0	0	0	0	0	0	0	0	0	0
kenngoa	0	0	0	0	0	0	0	0	0	0
kenya	0	0	0	0	0	0	0	0	0	0
ka hare	0	0	0	0	0	0	0	0	0	0
e bolotsana	0	1	1	0	1	1	0	0	0	0
temohisiso	0	0	0	0	0	0	0	0	0	0
boitsebiso bo sa tloaelehang	1	0	0	0	0	0	0	0	0	0
e se ea bohlokoa	0	1	0	0	0	0	0	0	0	0
e se nang bohlokoa	0	1	1	0	0	0	0	1	0	0
ho hloka kelello	0	1	0	0	0	0	0	0	0	0
tsitlella	0	0	0	0	0	0	0	0	0	0
e nyelisang	0	1	0	0	0	0	0	0	0	0
e sa hlajoe	0	0	0	0	0	0	0	0	0	0
ho senya	0	1	0	0	0	1	0	1	1	0
tse sa tsejoeng	0	1	0	0	0	1	0	1	0	1
hlahloba	0	0	0	0	0	0	0	0	0	0
mohlokomeli	1	0	0	0	0	0	0	0	0	0
phefumoloho	1	0	0	1	0	0	1	0	0	0
susumetsa	1	0	0	1	0	0	1	0	0	1
e bululetsoeng	1	0	0	0	0	0	1	0	1	1
ho se tsitse	0	1	0	0	1	1	0	0	0	0
kenya	0	0	0	1	0	0	0	0	0	0
tlhomamiso	0	0	0	0	0	0	0	0	0	0
karolo	0	0	0	0	0	0	0	0	0	0
mohlala	0	0	0	0	0	0	0	0	0	0
hang-hang	0	0	0	0	0	0	0	0	0	0
hang-hang	0	0	0	0	0	0	0	0	0	0
hang-hang	0	0	0	0	0	0	0	0	0	0
kenya letsoho	0	1	0	0	0	0	0	0	0	0
ho kenya letsoho	0	1	0	0	0	0	0	0	0	0
kenya	0	0	0	0	0	0	0	0	0	0
tlhaho	0	0	0	0	0	0	0	0	0	0
ea tlhaho	1	0	1	0	1	1	0	0	0	0
mokhatlo	0	0	0	0	0	0	0	0	0	1
setheo	0	0	0	0	0	0	0	0	0	0
ruta	1	0	0	0	0	0	0	0	0	1
ba laetsoe	0	0	0	0	0	0	0	0	0	0
taeo	1	0	0	0	0	0	0	0	0	1
ho ruta	0	0	0	0	0	0	0	0	0	0
litaelo	0	0	0	1	0	0	0	0	0	1
ho ruta	0	0	0	0	0	0	0	0	0	0
morupeli	1	0	0	1	0	0	0	0	0	1
seletsa	0	0	0	0	0	0	0	0	0	0
lipapali	1	0	0	0	0	0	0	0	0	0
instrumentalist	0	0	0	0	0	0	0	0	0	0
seletsa	0	0	0	0	0	0	0	0	0	0
ho se sebetse	0	1	1	0	0	0	0	0	0	0
ha e lekaneng	0	1	0	0	0	0	0	0	0	0
e sa lekaneng	0	1	0	0	0	0	0	0	0	0
ho kenya letsoho	0	0	0	0	0	0	0	0	0	0
kenya letsoho	0	0	0	0	0	0	0	0	0	0
ho kenya letsoho	0	0	0	0	0	0	0	0	0	1
ho rohaka	0	1	1	0	1	0	0	1	1	0
ho nyefola	0	1	1	0	1	1	0	1	0	0
inshorense	0	0	0	0	0	0	0	0	0	0
netefatsa	1	0	0	0	0	0	0	0	0	1
bofetoheli	0	1	0	0	0	0	0	0	0	0
e ke keng ea khoneha	0	1	0	0	0	1	0	1	0	0
bofetoheli	0	1	1	0	0	0	0	0	0	0
e tiile	1	0	0	0	0	0	0	0	0	1
e sa bonahaleng	0	0	0	0	0	0	0	0	0	0
e kholo	0	0	0	0	0	0	0	0	0	0
ho kopane	0	0	0	0	0	0	0	0	0	0
kopanya	0	0	0	0	0	0	0	0	0	0
ho kopanngoa	0	0	0	0	0	0	0	0	0	0
bot?epehi	1	0	0	0	0	0	0	0	0	1
bohlale	1	0	0	0	0	0	0	0	0	0
kelello	1	0	0	0	0	0	0	0	0	0
bohlale	1	0	0	0	0	1	1	0	0	1
ba bohlale	1	0	0	0	0	0	0	0	0	1
bohlale	0	0	0	0	0	0	0	0	0	0
e utloahalang	0	0	0	0	0	0	0	0	0	0
ikemiselitse	0	0	0	0	0	0	0	0	0	1
morero	1	0	0	1	0	0	0	0	0	0
e rerile	0	0	0	0	0	0	0	0	0	0
haholo	1	1	1	0	1	1	1	0	1	1
ka matla	0	0	0	0	0	0	0	0	0	0
matlafatsa	0	0	0	0	0	0	0	0	0	0
matla	0	0	0	0	0	0	0	0	0	0
sepheo	0	0	0	0	0	0	0	0	0	0
morero	0	0	0	0	0	0	0	0	0	0
ka boomo	0	0	0	0	0	0	0	0	0	0
ka boomo	0	0	0	0	0	0	0	0	0	0
ho kena	0	1	0	0	0	0	0	1	0	0
ho sebelisana	0	0	0	0	0	0	0	0	0	0
kopa	0	0	0	0	0	1	0	1	0	0
thibela	0	0	0	0	0	0	0	0	0	0
ho kheloha	0	0	0	0	0	0	0	0	0	0
ho rapella	0	0	0	0	0	0	0	0	0	1
ho fapanyetsana	0	0	0	0	0	0	0	0	0	0
e feto-fetoha	0	0	0	0	0	0	0	0	0	0
ba fapanyetsana	0	0	0	0	0	0	0	0	0	0
intercom	0	0	0	0	0	0	0	0	0	0
ho kopanela liphate	1	0	0	0	0	0	0	0	0	0
ho it?ehla thajana	0	0	0	0	0	0	0	0	0	0
e ikemetse	0	0	0	0	0	0	0	0	0	0
thibelo	0	1	0	0	0	0	0	0	0	0
thahasello	1	0	0	0	0	0	0	0	0	0
thahasello	1	0	0	0	1	0	0	1	0	0
thahasellisang	1	0	0	0	0	0	0	0	0	0
ho kena-kenana	0	1	0	0	0	0	0	0	0	0
interferometer	0	0	0	0	0	0	0	0	0	0
nakoana	0	0	0	1	0	0	0	0	0	0
ka hare	1	0	0	0	1	0	0	0	0	1
ho buisana	1	0	0	0	0	0	0	0	0	0
ho kopana	1	0	0	0	0	0	0	0	0	0
mohokahanyi	0	0	0	0	0	0	0	0	0	0
lipakeng	0	0	0	0	0	0	0	0	0	0
ho bua	0	1	0	0	0	0	0	1	0	0
e ke keng ea qojoa	1	1	1	1	0	0	0	0	0	0
ho khutsa	0	0	0	1	0	0	0	0	0	0
lipakeng	0	0	0	0	0	0	0	0	0	0
basebetsi	0	0	0	0	0	0	0	0	0	0
ka hare	0	0	0	0	0	0	0	0	0	0
ka hare	0	0	0	0	0	0	0	0	0	0
machaba	0	0	0	0	0	0	0	0	0	0
tlhaloso	0	0	0	0	0	0	0	0	0	0
tlhaloso	0	0	0	0	0	0	0	0	0	0
ho fetolela	0	0	0	0	0	0	0	0	0	0
tlhaloso	0	0	0	0	0	0	0	0	0	0
mofetoleli	0	0	0	0	0	0	0	0	0	0
e amanang	0	0	0	0	0	0	0	0	0	0
ho hlongoa lipotso	0	0	0	0	0	1	0	0	0	0
lipotso	0	0	0	0	0	1	0	0	0	0
ho kena-kenana	0	1	1	0	0	0	0	0	1	0
e sitisitsoe	0	1	0	0	0	0	0	1	0	0
ho sitisoa	0	0	0	0	0	0	0	0	0	0
fapanyetsana	0	0	0	0	0	0	0	0	0	0
lit?ebelisano	0	0	0	0	0	0	0	0	0	0
lit?ebelisano	0	0	0	0	0	0	0	0	0	0
nako	0	0	0	0	0	0	0	0	0	0
ho kena-kenana	0	0	0	0	0	0	0	0	0	0
ho kenella	1	1	0	0	0	0	0	1	0	0
lipuisano	0	0	0	0	0	0	0	0	0	0
moqoqo	0	0	0	0	0	1	0	0	0	0
ho sebelisana	0	0	0	0	0	0	0	0	0	0
malapa	0	1	0	0	0	0	0	0	0	0
mala	0	0	0	0	1	0	0	0	0	0
mala	0	0	0	0	0	0	0	0	0	0
mala	0	0	0	0	0	0	0	0	0	0
kamano e haufi-ufi	0	0	0	0	0	0	0	0	0	0
e haufi-ufi	1	0	0	1	0	0	1	0	0	1
haufi-ufi	0	0	0	1	0	1	1	0	0	0
khabiso	0	0	0	0	0	0	0	0	0	0
t?osa	0	1	0	0	0	1	0	0	0	0
t?oso	0	1	1	0	0	1	0	0	0	0
e ke keng ea qojoa	0	1	1	0	0	0	0	0	0	0
ho hloka kutloano	0	1	1	0	1	1	0	0	0	0
e sa mamelleng	0	1	1	0	1	1	0	1	0	0
polelo	1	0	0	0	0	0	0	0	0	0
tahiloeng	0	1	0	0	1	0	0	0	0	0
ho tahoa	0	0	0	0	0	0	0	0	0	0
e ke keng ea qojoa	0	1	1	0	0	0	0	0	0	0
ho kenya letsoho	0	0	0	0	0	0	0	0	0	0
ba sebete	1	0	0	0	0	0	0	0	0	0
e rarahaneng	0	0	0	0	0	0	0	0	0	0
khethollo	0	1	0	1	0	1	0	0	1	0
e thahasellisang	0	0	0	0	0	0	0	0	0	0
ka hare	0	0	0	0	0	0	0	0	0	0
ka tlhaho	0	0	0	0	0	0	0	0	0	0
kenyelletso	0	0	0	0	0	0	0	0	0	0
kenyelletso	0	0	0	0	0	0	0	0	0	0
ho itlhahisa pele	0	0	0	0	0	0	0	0	0	0
ho hlahisa maikutlo	0	0	0	0	0	0	0	0	0	0
moqapi	0	1	1	0	0	1	0	0	1	0
ho kena-kenana	0	1	0	0	0	1	0	0	0	0
intrusive	0	1	1	0	1	1	0	0	1	0
intuition	1	0	0	0	0	0	0	0	0	1
e utloahalang	1	0	0	0	0	0	0	0	0	0
intuitively	0	0	0	1	0	0	0	0	0	0
ho hlatsoa	0	0	0	0	0	0	0	0	0	0
hlasela	0	1	1	0	0	1	0	1	1	0
mohlaseli	0	1	1	0	0	1	0	1	0	0
ha e na thuso	0	0	0	0	0	0	0	1	0	0
e se ke ea e-ba matla	0	1	0	0	0	0	0	0	0	0
ho fosahetse	0	1	0	0	0	0	0	0	0	0
ho se sebetse	0	1	0	0	0	0	0	0	0	0
e bohlokoa haholo	0	0	0	0	0	0	0	0	0	0
khafetsa	1	0	0	0	0	0	0	0	0	0
tlhaselo	0	1	1	0	0	0	0	0	0	0
qapa	0	0	0	0	0	0	0	0	0	0
e qapiloeng	0	0	0	0	0	0	0	0	0	0
e sa sebetseng	1	0	0	0	0	0	0	0	0	0
moqapi	1	0	0	0	0	0	0	0	0	0
tlhahlobo	0	0	0	0	0	0	0	0	0	0
ho fapana	0	0	0	0	0	0	0	0	0	0
ka tsela e fapaneng	0	0	0	0	0	0	0	0	0	0
ho tsuba	0	0	0	0	0	0	0	0	0	0
khelosa	0	0	0	0	0	0	0	0	0	0
e khelohile	0	0	0	0	0	0	0	0	0	0
hlahloba	1	0	0	0	0	0	0	0	0	0
phuputso	0	0	0	1	0	0	0	0	0	0
mofuputsi	0	0	0	0	0	0	0	0	0	0
motjhelete	0	0	0	0	0	0	0	0	0	0
matlafatsa	1	0	0	0	0	0	0	0	0	0
se ke keng sa hl?loa	0	0	0	0	0	0	0	0	0	0
ho bonahala	0	0	0	0	0	0	0	0	0	0
e sa bonahaleng	0	0	0	0	0	0	0	0	0	0
memo	1	0	0	1	0	0	0	0	0	0
memela	1	0	0	1	0	0	1	0	1	1
e mema	1	0	0	1	0	0	1	0	1	1
ho ipiletsa	0	0	0	1	0	0	0	0	0	1
invoice	0	0	0	0	0	0	0	0	0	0
ho kopa	0	0	0	1	0	0	0	0	0	0
e sa ikhethang	0	1	0	0	0	0	0	0	0	0
ho fetoha	0	1	1	0	0	0	0	0	0	0
ho kenya letsoho	0	0	1	0	0	0	0	0	0	0
ka hare	0	0	0	0	0	0	0	0	0	0
e le 'ngoe	0	0	0	0	0	0	0	0	0	0
ho halefa	0	1	1	0	0	0	0	0	0	0
NO TRANSLATION	0	1	1	0	0	0	0	0	0	0
likhahla	0	0	0	0	0	0	0	0	0	0
iris	0	0	0	0	0	1	0	0	0	0
t?epe	1	0	0	0	0	0	0	0	0	1
ho makatsa	0	0	0	0	0	0	0	0	0	0
litone	0	1	0	0	0	0	0	0	0	0
ho se tsotelle	0	0	0	0	0	0	0	0	0	0
ho fokotsa matla	0	0	0	0	0	0	0	0	0	0
ho se nahane	0	1	0	0	1	1	0	0	0	0
ho se nahane	0	1	0	0	0	0	0	0	0	0
ho se lumellane	0	1	1	0	0	1	0	1	0	0
ho se na thuso	1	0	0	0	0	0	0	0	0	0
e ke keng ea qojoa	1	0	0	0	0	0	0	0	0	1
e sa tloaelehang	0	1	0	0	0	0	0	0	0	0
ho se natse	0	1	0	0	0	0	0	0	0	0
ka mokhoa o sa tloaelehang	0	0	0	0	0	0	0	0	0	0
irrelevant	0	1	0	0	0	0	0	0	0	0
e ke keng ea lekanngoa	0	1	0	0	0	1	0	1	0	0
ho se na thuso	0	0	0	0	0	0	0	0	0	0
e ke keng ea qojoa	0	0	0	0	0	0	0	0	0	0
ho sa tsotellehe seo	0	0	0	0	0	0	0	0	0	0
ho se tsotellehe	0	1	0	0	0	0	0	0	0	0
ho hloka tlhompho	0	1	0	0	0	0	0	0	0	0
e ke keng ea senoloa	0	0	0	0	0	0	0	0	0	0
e sa fetoheng	0	1	0	0	0	0	0	0	0	0
nosetsa	0	0	0	0	0	0	0	0	0	0
ho nosetsa	0	0	0	0	0	0	0	0	0	0
ho halefa	0	1	1	0	0	0	0	0	0	0
ho halefa	0	1	1	0	0	0	0	0	0	0
ho halefisa	0	1	1	0	1	0	0	0	0	0
khalefo	0	1	1	0	1	0	0	1	0	0
sehlekehleke	0	0	0	0	0	0	0	0	0	0
sehlekehleke	0	0	0	0	0	0	0	0	0	0
sehlekehleke	0	0	0	0	0	0	0	0	0	0
ho it?ehla thajana	0	0	0	0	0	0	0	1	0	0
tse ling	0	1	0	0	0	1	0	1	0	0
ho it?ehla thajana	0	1	0	0	0	0	0	1	0	0
isomorphism	0	0	0	0	0	0	0	0	0	0
e sa tloaelehang	0	0	0	0	0	0	0	0	0	0
hlahisa	0	0	0	0	0	0	0	0	0	0
itch	0	0	0	0	0	0	0	0	0	0
ho hlohlona	0	0	0	0	0	0	0	0	0	0
ntho	0	0	0	0	0	0	0	0	0	0
itemize	0	0	0	0	0	0	0	0	0	0
lintho	0	0	0	0	0	0	0	0	0	0
iterate	0	0	0	0	0	0	0	0	0	0
iteration	0	0	0	0	0	0	0	0	0	0
phetolelo	0	0	0	0	0	0	0	0	0	0
e tsamaeang leetong	0	0	0	0	0	0	0	0	0	0
leetong	0	0	0	0	0	0	0	0	0	0
manaka a tlou	0	0	0	0	0	0	0	0	0	0
jab	0	0	1	0	0	0	0	0	0	0
jabber	0	1	0	0	0	0	0	0	0	0
jack	0	0	0	0	0	0	0	0	0	0
jackass	0	0	0	0	0	0	0	0	0	0
jackpot	1	0	0	1	0	0	1	0	1	0
jacks	0	0	0	0	0	0	0	0	0	0
jade	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
jagged	0	0	0	0	0	0	0	0	0	0
jaguar	0	0	0	0	0	0	0	0	0	0
chankaneng	0	1	0	0	0	1	0	1	0	0
jeme	1	0	0	0	0	0	0	0	0	0
e koetsoe	0	0	0	0	0	0	0	0	0	0
mohlokomeli	0	0	0	0	1	0	0	0	0	0
japan	0	0	0	0	0	0	0	0	0	0
nkho	0	0	0	0	0	0	0	0	0	0
jargon	0	1	0	0	0	0	0	0	0	0
jarring	0	1	0	0	0	1	0	1	0	0
jasper	0	0	0	0	0	0	0	0	0	0
jaundice	0	1	0	0	0	1	0	0	0	0
jaunt	0	0	0	0	0	0	0	0	0	0
javelin	0	0	0	0	0	0	0	0	0	0
mohlahare	0	0	0	0	0	0	0	0	0	0
melahare	0	0	0	0	0	1	0	0	0	0
jay	0	0	0	0	0	0	0	0	0	0
m?na	0	1	1	0	1	0	0	0	0	0
poulelo	0	1	1	0	1	1	0	1	0	0
li jeane	0	0	0	0	0	0	0	0	0	0
jeep	0	0	0	0	0	0	0	0	0	0
jelly	0	0	0	0	0	0	0	0	0	0
jenny	0	0	0	0	0	0	0	0	0	0
beha kotsing	0	1	1	0	0	1	0	0	0	0
e kotsing	0	1	0	1	0	1	0	0	0	0
jerk	0	0	1	0	0	0	0	0	1	0
jerese	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	0	0	0	1	0	1	0
jester	0	0	0	0	0	0	0	0	0	0
jete	0	0	0	0	0	0	0	0	0	0
jetty	0	0	0	0	0	0	0	0	0	0
jewel	0	0	0	0	0	0	0	0	0	0
jeweller	0	0	0	0	0	0	0	0	0	0
mabenyane	0	0	0	0	0	0	0	0	0	0
jib	0	0	0	0	0	0	0	0	0	0
jiffy	0	0	0	0	0	0	0	0	0	0
jimmy	0	0	0	0	0	0	0	0	0	0
jingle	0	0	0	0	0	0	0	0	0	0
mosebetsi	1	0	0	0	0	0	0	0	0	0
jock	0	0	0	0	0	0	0	0	0	0
jockey	0	0	0	0	0	0	0	0	0	0
jog	0	0	0	0	0	0	0	0	0	0
John	0	1	0	0	1	0	0	0	0	0
kena	1	0	0	0	0	0	0	0	0	0
ikopanya	1	0	0	0	0	0	0	0	0	0
kena	0	0	0	0	0	0	0	0	0	0
kopane	0	0	0	0	0	0	0	0	0	0
hammoho	0	0	0	0	0	0	0	0	0	0
joke	0	1	0	0	0	0	0	0	0	0
joker	1	0	0	0	0	0	1	0	1	0
ho tsuba	1	0	0	0	0	0	0	0	0	0
jolt	0	0	0	0	0	0	0	0	1	0
NO TRANSLATION	0	1	0	0	0	0	0	0	0	0
jot	0	0	0	0	0	0	0	0	0	0
koranta	0	0	0	0	0	0	0	0	0	0
boqolotsi ba litaba	0	0	0	0	0	0	0	0	0	1
moqolotsi oa litaba	1	0	0	0	0	0	0	0	0	0
leeto	1	0	0	1	0	1	1	0	0	0
motho ea tsamaeang	0	0	0	0	0	0	0	0	0	1
ho lekana	1	0	0	0	0	0	1	0	0	0
thabo	1	0	0	0	0	0	1	0	0	0
thabo	1	0	0	0	0	0	1	0	0	1
thabo	1	0	0	0	0	0	1	0	0	0
e thabisang	1	0	0	0	0	0	1	0	1	1
jubilee	1	0	0	0	0	0	1	0	1	0
moahloli	0	0	0	0	0	0	0	0	0	0
ho ahlola	0	0	0	0	0	0	0	0	0	0
kahlolo	0	0	0	0	0	0	0	0	1	0
makhotla	1	0	0	1	0	0	0	0	0	1
mahloriso	0	0	0	1	0	0	0	0	0	1
e hlokolosi	1	0	0	0	0	0	0	0	0	1
jug	0	0	0	0	0	0	0	0	0	0
juggle	0	0	0	0	0	0	0	0	0	0
juggling	0	0	0	0	0	0	0	0	0	0
lero	0	0	0	0	0	0	0	0	0	0
lero	0	0	0	0	0	0	0	0	0	0
jumble	0	1	0	0	0	0	0	0	0	0
ho tletse	0	0	0	0	0	0	0	0	0	0
jumbo	0	0	0	0	0	0	0	0	0	0
qhaqha	1	0	0	0	0	0	1	0	0	0
khetho	0	0	0	0	0	0	0	0	0	0
marang-rang	0	0	0	0	0	0	0	0	0	0
morung	0	0	0	0	0	1	0	0	0	0
e nyenyane	0	0	0	0	0	0	0	0	0	0
e se nang thuso	0	1	0	0	0	0	0	0	0	0
junta	0	1	0	0	0	0	0	0	0	0
ka molao	0	0	0	0	0	0	0	0	0	0
bolaoli	0	0	0	0	0	0	0	0	0	0
molao-molao	0	0	0	0	0	0	0	1	0	0
setsebi sa molao	0	0	0	0	0	0	0	0	0	1
lekhotla	0	0	0	0	0	0	0	0	0	1
toka	1	0	0	0	0	0	0	0	0	1
e nepahetse	1	0	0	0	0	0	0	0	0	1
ho loka	1	0	0	0	0	0	0	0	0	0
lumellana	0	0	0	0	0	0	0	0	0	0
jute	0	0	0	0	0	0	0	0	0	0
bana ba banyenyane	0	1	0	0	0	0	0	0	0	0
jxtaposition	0	0	0	0	0	0	0	0	0	0
kaiser	0	0	0	0	0	0	0	0	0	0
khaleidoscope	0	0	0	0	0	0	0	0	0	0
kangaroo	0	0	0	0	0	0	0	0	0	0
kanji	0	0	0	0	0	0	0	0	0	0
karma	0	0	0	0	0	0	0	0	0	0
kayak	0	0	0	0	0	0	0	0	0	0
keel	0	0	0	0	0	0	0	0	0	0
molebeli	0	0	0	0	0	0	0	0	0	0
ho boloka	0	0	0	0	0	0	0	0	0	0
sehl?h?	1	0	0	0	0	0	0	0	0	0
keg	0	0	0	0	0	0	0	0	0	0
ken	1	0	0	0	0	0	0	0	0	0
kennel	0	0	0	0	0	0	0	1	0	0
kern	0	1	0	0	0	0	0	0	0	0
kernel	0	0	0	0	0	0	0	0	0	0
parafene	0	0	0	0	0	1	0	0	0	0
kettle	0	0	0	0	0	0	0	0	0	0
senotlolo	0	0	0	0	0	0	0	0	0	0
keyhole	0	0	0	0	0	0	0	0	0	0
sehlooho sa bohlokoa	1	0	0	0	0	0	0	0	0	0
keystone	1	0	0	0	0	0	0	0	0	0
Khaki	0	0	0	0	0	0	0	0	0	0
khan	0	0	0	0	0	1	0	0	0	1
kick	0	1	1	0	0	0	0	0	0	0
ho khaola	0	0	1	0	0	0	0	0	0	0
ngoana	0	0	0	0	0	0	0	0	0	0
ho hlola	0	0	0	0	0	0	0	0	0	0
ho tl?la	0	1	1	0	0	1	0	1	1	0
bolaea	0	1	0	0	0	1	0	1	0	0
bolaea	0	1	1	0	0	1	0	1	0	0
kiln	0	0	0	0	0	0	0	0	0	0
kilogram	0	0	0	0	0	0	0	0	0	0
khilomitha	0	0	0	0	0	0	0	0	0	0
kilt	0	0	0	0	0	0	0	0	0	0
kimono	0	0	0	0	0	0	0	0	0	0
kin	0	0	0	0	0	0	0	0	0	0
mosa	1	0	0	0	0	0	1	0	0	1
kerene	0	0	0	0	0	0	0	0	0	0
mosa	1	0	0	0	0	0	0	0	0	0
motsoalle	1	0	0	1	0	0	1	0	0	1
kinematics	0	0	0	0	0	0	0	0	0	0
morena	1	0	0	0	0	0	0	0	0	0
'muso	0	0	0	0	0	0	0	0	0	0
kink	0	0	0	0	0	0	0	0	0	0
kinky	0	0	0	0	0	0	0	0	0	0
kiosk	0	0	0	0	0	0	0	0	0	0
kirk	0	0	0	0	0	0	0	0	0	0
kiss	1	0	0	1	0	0	1	0	1	0
kit	0	0	0	0	0	0	0	0	0	0
kichine	0	0	0	0	0	0	0	0	0	0
kite	0	1	0	0	1	0	0	0	0	0
kitten	1	0	0	0	0	0	1	0	0	1
knack	1	0	0	0	0	0	0	0	0	0
knapsack	0	0	0	0	0	0	0	0	0	0
khumama	0	0	0	0	0	0	0	0	0	0
lengole	0	0	0	0	0	0	0	0	0	0
khumama	0	0	0	0	0	0	0	0	0	0
ho khumama	0	0	0	0	0	0	0	0	0	0
knell	0	1	0	0	0	1	0	1	0	0
knickers	0	0	0	0	0	0	0	0	0	1
thipa	0	0	0	0	0	0	0	0	0	0
knight	1	0	0	0	0	0	0	0	0	0
ho kopa	0	0	0	0	0	0	0	0	0	0
thupa	0	0	0	0	0	0	0	0	0	0
ho kokota	0	0	0	0	0	0	0	0	0	0
knoll	0	0	0	0	0	0	0	0	0	0
letlobo	0	0	0	0	0	0	0	0	0	0
knotted	0	1	0	0	0	0	0	0	0	0
ho tseba	1	0	0	0	0	0	0	0	0	0
tsebang	0	0	0	0	0	0	0	0	0	0
tsebo	1	0	0	0	0	0	0	0	0	0
khaola	0	0	0	0	0	0	0	0	0	0
kos	0	0	0	0	0	0	0	0	0	0
kris	0	0	0	0	0	0	0	0	0	0
kudos	1	0	0	0	0	0	1	0	0	0
lab	0	0	0	0	0	0	0	0	0	0
label	0	0	0	0	0	0	0	0	0	1
mosebetsi	1	0	0	1	0	0	1	0	1	1
laboratory	0	0	0	0	0	0	0	0	0	0
sebetsa ka thata	0	1	0	0	0	0	0	1	0	0
ea sebetsang	0	0	0	0	0	0	0	0	0	0
